Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-914.3634	-1054.367	140.0039	0.0190217	0.0111352	0.00307677	0.000177426	0.00185406	0.00213886	0.00105432	0.0048728	0.00154645	0.00233675	0.0048104	0.000995872	0.00029004	0.0017375	0.000533129	0.00191059	0.000919514	0.00114867	0.00065529	0.000901935	0.00430159	0.00351538	0.00333006	0.000508425	0.000103156	0.00071971	0.00375207	0.00592878	0.00981539	0.00156735	0.00275231	0.000342899	0.000521954	0.00164628	0.00197733	0.00453919	7.60596e-06	0.00369282	0.00708218	0.000571954	0.00324231	0.0139495	0.00380761	0.00231421	0.0328192	0.00296833	0.0119487	0.00116709	0.00184836	0.00449034	0.000375545	0.00128938	0.0255708	0.00147522	0.00210851	9.41964e-05	0.000626373	0.0128485	0.0128986	0.00253186	0.00870696	0.00326533	0.0124905	0.00298958	0.0110803	0.00828667	0.00554478	0.00171022	0.0169812	0.00236893	0.0147421	0.00757076	0.010423	0.000364215	0.00200099	0.00131631	0.00823818	0.00274414	0.00288256	0.00275182	0.00347643	0.00214074	0.00649726	0.0122859	0.00127784	0.392079	1.7295	0.2526004	1.7474	0.0613423	0.256323	0.653962	1.52914	3.90133	16.302	2.018292	6.917643	0.2720405	0.046587	0.0272718	0.00753547	0.000434543	0.00454086	0.00523838	0.00258218	0.0119342	0.00378749	0.00572305	0.0117814	0.00243904	0.000710352	0.0042554	0.00130571	0.00467931	0.00225203	0.00281326	0.0016049	0.00220897	0.0105352	0.00860969	0.00815582	0.00124521	0.000252645	0.00176268	0.00918938	0.0145205	0.0240394	0.00383867	0.00674082	0.00083981	0.00127834	0.00403198	0.00484279	0.0111171	1.86281e-05	0.00904427	0.0173453	0.0014008	0.00794089	0.0341645	0.00932541	0.00566786	0.080379	0.00726987	0.0292642	0.00285839	0.0045269	0.0109975	0.000919766	0.00315788	0.0626267	0.00361303	0.00516405	0.000230701	0.00153408	0.0314678	0.0315906	0.0062009	0.0213246	0.00799729	0.030591	0.00732192	0.0271374	0.0202953	0.01358	0.00418859	0.0415894	0.00580186	0.0361057	0.0185419	0.0255275	0.000892018	0.00490073	0.00322383	0.0201765	0.0067208	0.00705981	0.00673961	0.00851429	0.00524299	0.0159128	0.0300901	0.00312961	0.8737	0.1263	0.408305
36	-910.0145	-1050.118	140.1033	0.0214723	0.0215288	0.0139577	0.000230214	0.00150665	0.000297647	0.00756617	0.00964905	0.00436244	0.000156664	0.00454859	0.00389879	0.00379926	0.00282923	0.000116741	0.00466538	0.00320592	0.000187325	0.000706938	0.000562302	0.00290596	0.00411955	0.00426409	0.000699605	0.00200744	0.000588708	0.00139937	0.00143068	0.0230715	0.00280405	0.00607636	0.00160261	0.000659751	0.00591308	0.00388005	0.00968505	0.0134558	0.0241212	0.015928	0.00271898	0.0101102	0.00520173	0.0110298	0.00771927	0.00956295	0.0380127	0.0110423	0.0109895	0.0126352	0.00815869	0.00430096	0.0235972	0.00615635	0.0133792	0.00562553	0.00134476	0.0221714	0.00175784	0.01887	0.00645922	0.0111824	0.0256901	0.00825159	0.000123317	0.0104961	0.00148613	0.0389399	0.0199468	0.0192133	0.041957	0.0044715	0.00913025	0.0360548	0.00942932	0.0076086	0.0036675	0.00855681	0.00317754	0.0315925	0.000717086	0.00579819	0.00450399	0.00932072	0.041097	0.00270736	0.357012	1.77159	0.215093	1.784907	0.109463	0.339976	0.714201	1.40017	2.94138	9.13548	1.599548	8.298305	0.2418252	0.0263198	0.026389	0.0171087	0.000282185	0.00184678	0.000364842	0.00927426	0.0118274	0.00534728	0.000192032	0.00557546	0.00477895	0.00465696	0.00346794	0.000143096	0.00571861	0.00392967	0.000229614	0.000866531	0.000689244	0.00356199	0.00504956	0.00522673	0.000857543	0.00246063	0.000721611	0.00171528	0.00175367	0.0282799	0.00343708	0.00744812	0.0019644	0.000808693	0.00724798	0.00475599	0.0118715	0.0164935	0.0295667	0.0195238	0.00333279	0.0123926	0.00637604	0.0135198	0.00946192	0.0117218	0.0465943	0.0135351	0.0134704	0.0154876	0.0100005	0.00527191	0.0289244	0.00754617	0.0163997	0.00689551	0.00164835	0.0271767	0.00215468	0.02313	0.00791741	0.0137068	0.0314897	0.0101144	0.000151156	0.0128656	0.00182162	0.0477308	0.0244499	0.0235507	0.0514289	0.00548096	0.0111914	0.0441943	0.011558	0.00932627	0.00449545	0.0104885	0.00389488	0.0387246	0.000878971	0.00710716	0.00552079	0.0114249	0.0503748	0.00331856	0.892454	0.107546	0.8158245
72	-918.206	-1057.971	139.7651	0.0244796	0.00987288	0.00343618	9.27425e-06	0.00138658	0.00484061	0.000315827	0.00285948	0.00542002	0.00411854	0.00154857	0.000147146	0.000725621	0.00471928	7.15529e-05	0.00332414	0.00115766	0.00154104	0.0017998	0.00429284	0.00169559	0.00222621	0.00221433	0.000227984	0.000881373	0.000903689	0.00270303	0.00611307	0.0208658	0.00539096	0.000809919	0.00014162	0.00125738	0.0015109	0.00658591	0.00224989	0.000790765	0.0150315	0.00276995	0.00160122	0.00135274	0.00580222	0.00778595	0.0022017	0.0194236	0.00431595	0.00316478	0.00109509	0.00187533	0.00299673	8.06872e-05	0.00197828	0.0349542	0.00322701	0.00201461	0.0052375	0.00061703	0.0152834	0.000663417	0.00162666	0.0208244	0.00132283	0.00986312	0.00553595	0.0126784	0.002624	0.00635484	0.00838239	0.00604372	0.00560231	0.0271691	0.00502364	0.00207733	0.00248742	9.25676e-05	0.00280747	0.00468985	0.000497116	0.00913223	0.00309323	0.00273291	0.000218315	0.00997511	0.0194685	0.0018954	0.236973	1.91563	0.1641299	1.83587	0.0733591	0.279691	0.672007	1.48808	3.57537	13.6316	1.888937	11.18547	0.148446	0.0558479	0.022524	0.00783931	2.11583e-05	0.00316335	0.0110434	0.000720528	0.00652363	0.0123653	0.00939604	0.00353291	0.000335699	0.00165543	0.0107666	0.000163241	0.00758371	0.0026411	0.00351573	0.00410607	0.0097937	0.00386832	0.00507889	0.00505177	0.000520124	0.00201077	0.00206168	0.00616671	0.0139464	0.0476033	0.0122989	0.00184775	0.000323092	0.00286859	0.00344697	0.0150251	0.0051329	0.00180405	0.0342928	0.00631937	0.00365303	0.00308614	0.0132372	0.0177629	0.00502297	0.044313	0.00984642	0.00722015	0.00249834	0.00427838	0.00683674	0.00018408	0.00451325	0.0797446	0.00736212	0.00459613	0.0119489	0.00140769	0.0348675	0.00151352	0.00371106	0.0475088	0.00301792	0.0225018	0.0126297	0.0289245	0.00598639	0.014498	0.0191236	0.0137882	0.0127811	0.0619837	0.011461	0.00473923	0.0056748	0.000211184	0.00640496	0.0106994	0.00113412	0.0208343	0.00705691	0.00623487	0.000498065	0.0227573	0.0444156	0.00432417	0.917935	0.0820649	0.4383267
108	-917.542	-1056.832	139.2899	0.0299712	0.00760646	0.00638727	3.74755e-05	0.00371209	0.00096686	0.00135392	0.00571499	0.0183401	0.0070344	0.00334882	0.00346333	0.00117519	0.0108977	5.00406e-05	0.000746624	0.0014915	0.00516194	0.00352434	0.00217098	0.00258513	0.00617425	0.000617689	0.0010152	0.00514076	0.00902143	0.000240087	0.00124844	0.0454181	0.00281111	0.00304718	5.34264e-05	0.000556041	0.00680687	0.00488723	0.00376878	0.00172561	0.00572443	0.00752868	0.00413441	0.0137975	0.00593926	0.00933841	0.00585564	0.0335848	0.00879822	0.00712358	0.000681185	0.00254124	0.00393817	1.05788e-05	0.0016439	0.0282104	0.00202888	0.00168068	0.00626369	0.00347117	0.0200847	0.00738063	0.00804054	0.0273665	0.000752658	0.0077507	0.0182759	0.00451236	0.00382548	0.0190382	0.00269757	0.0174995	0.00606639	0.0156466	0.00955872	0.00164609	0.0153885	0.000206166	0.00314519	0.00749464	0.000878685	0.00320681	0.0118038	0.0022591	0.000513149	0.00855389	0.0118326	0.00211269	0.260866	1.88696	0.1213746	1.878625	0.0874812	0.304768	0.690252	1.44875	3.28119	11.431	1.761635	15.47791	0.1658959	0.0501103	0.0127176	0.0106792	6.2657e-05	0.00620641	0.00161654	0.00226369	0.00955516	0.0306636	0.0117611	0.00559905	0.0057905	0.00196485	0.0182204	8.36653e-05	0.00124831	0.00249371	0.00863048	0.00589251	0.00362977	0.0043222	0.010323	0.00103274	0.00169736	0.00859507	0.0150833	0.000401412	0.00208733	0.0759366	0.00470003	0.00509472	8.93262e-05	0.00092967	0.0113807	0.00817119	0.00630119	0.00288513	0.00957094	0.0125876	0.00691251	0.0230688	0.00993013	0.0156133	0.00979032	0.0561519	0.0147102	0.0119102	0.0011389	0.00424882	0.0065844	1.76872e-05	0.00274852	0.0471663	0.00339218	0.00281	0.0104725	0.00580361	0.0335806	0.01234	0.0134433	0.0457553	0.0012584	0.0129587	0.0305563	0.00754442	0.006396	0.0318308	0.00451019	0.0292582	0.0101427	0.0261603	0.0159817	0.00275218	0.0257288	0.000344699	0.00525858	0.0125306	0.00146911	0.00536162	0.0197354	0.0037771	0.000857957	0.0143016	0.0197835	0.0035323	0.939313	0.0606873	0.5981053
144	-910.3886	-1049.582	139.193	0.0156787	0.00493186	0.00476759	0.00110992	0.00209955	5.24578e-05	0.000954731	0.00472646	0.00962569	0.00146877	0.00225089	0.00133626	0.000912265	0.0023344	3.37888e-05	0.000996825	4.10542e-05	0.000516505	0.0045016	0.000667424	0.003716	0.00105397	0.000826947	0.000870577	0.00071577	0.00475713	0.000899935	0.000729025	0.0133955	0.00377235	0.00427934	1.62682e-05	0.00147392	0.00393253	0.00108625	0.00371475	0.0010841	0.0127241	0.00591917	0.00225544	0.00562143	0.00830882	0.00613971	0.00429376	0.0303886	0.00282395	0.00104658	0.00104532	0.0032781	0.00273913	3.27314e-05	0.00234573	0.0220296	0.000925614	4.34854e-05	0.00198704	0.000229813	0.0151857	0.0107915	0.0017057	0.0174843	0.000516682	0.00648012	0.0106582	0.00177421	0.00382798	0.00720705	0.00169877	0.0132833	0.00241776	0.0208821	0.00592394	0.000955106	0.00511282	0.000439623	0.00362046	0.00649089	0.00227928	0.00179057	0.00717091	0.00377009	0.00166569	0.00611568	0.00846611	0.0041074	0.274271	1.87087	0.1146751	1.885325	0.0935697	0.314934	0.697355	1.43399	3.17526	10.6872	1.712985	16.44058	0.1759208	0.040065	0.0126028	0.012183	0.00283627	0.00536515	0.00013405	0.0024397	0.0120779	0.0245973	0.00375327	0.00575189	0.00341466	0.00233118	0.00596528	8.63433e-05	0.00254727	0.000104909	0.00131987	0.0115033	0.00170552	0.0094958	0.00269329	0.00211317	0.00222466	0.00182907	0.0121563	0.00229968	0.00186294	0.0342305	0.00963978	0.0109354	4.15716e-05	0.00376642	0.0100491	0.00277578	0.00949261	0.00277029	0.032515	0.0151257	0.00576352	0.0143649	0.0212322	0.0156893	0.0109722	0.0776544	0.00721628	0.00267442	0.00267118	0.0083768	0.00699952	8.36412e-05	0.00599424	0.0562941	0.0023653	0.000111122	0.00507765	0.00058726	0.0388052	0.0275763	0.0043587	0.0446791	0.00132032	0.0165592	0.0272358	0.00453379	0.00978196	0.0184168	0.004341	0.0339438	0.00617831	0.0533617	0.0151379	0.00244066	0.0130652	0.0011234	0.00925165	0.0165867	0.00582442	0.00457558	0.0183244	0.00963401	0.00425648	0.0156279	0.0216341	0.010496	0.942662	0.0573376	0.3913311
180	-915.3565	-1055.576	140.2193	0.0539901	0.00559131	0.0100958	0.00129938	0.0140668	0.000303322	0.00659343	0.00147689	0.0115623	0.000804634	0.00199387	0.0064121	0.00196074	0.00392107	0.000402564	0.00371731	0.000445197	0.00173781	0.00595428	0.00206242	0.00573776	0.00861398	0.00761059	0.00340317	0.012644	0.00484904	0.000127923	0.0060974	0.0163705	0.008118	0.0068557	0.00194103	0.000340336	0.0023347	0.000401762	0.00967017	0.00244878	0.0151565	0.010479	0.00877545	0.00526923	0.00942947	0.00435028	0.00286944	0.0598053	0.00655438	0.00465367	0.00279662	0.0033254	0.00464013	0.00177478	0.00419271	0.0445619	0.000486527	0.000456348	0.00392928	0.00122235	0.0157087	0.0373977	0.00418514	0.0375792	0.0031206	0.0170278	0.021508	0.00440974	0.0101112	0.00798955	0.00594055	0.0576719	0.00600716	0.0225062	0.0114339	0.00783861	0.00288887	0.00550051	0.00164803	0.0123544	0.00933581	0.00698048	0.00197078	0.00302424	0.0197779	0.00916041	0.0181963	0.00773223	0.544813	1.54622	0.3020552	1.697945	0.098482	0.322892	0.702805	1.42287	3.09701	10.1541	1.675988	5.621307	0.4228203	0.067853	0.00702699	0.0126881	0.00163302	0.0176788	0.000381206	0.00828642	0.00185611	0.0145311	0.00101124	0.00250584	0.00805853	0.00246419	0.00492788	0.000505931	0.0046718	0.00055951	0.00218402	0.00748315	0.00259199	0.00721104	0.0108258	0.00956475	0.00427699	0.0158906	0.00609413	0.000160769	0.00766303	0.020574	0.0102025	0.00861603	0.00243943	0.000427724	0.00293418	0.000504922	0.0121532	0.00307756	0.0190483	0.0131697	0.0110287	0.0066222	0.0118507	0.00546729	0.00360623	0.0751615	0.00823734	0.00584859	0.00351471	0.00417926	0.00583157	0.00223049	0.00526927	0.056004	0.000611452	0.000573524	0.00493819	0.00153621	0.0197422	0.0470002	0.00525975	0.0472284	0.00392188	0.0214001	0.0270306	0.00554203	0.0127075	0.010041	0.0074659	0.0724803	0.00754962	0.0282851	0.0143698	0.00985132	0.00363064	0.00691287	0.00207119	0.0155266	0.011733	0.00877286	0.00247682	0.00380078	0.0248563	0.0115125	0.0228685	0.00971763	0.848972	0.151028	0.7956911
216	-904.2214	-1044.182	139.9609	0.0283937	0.00510284	0.0104967	0.00125332	0.00242643	8.23692e-05	0.00381843	0.00710077	0.00393839	0.00213047	1.02589e-05	0.00617824	0.000579192	0.000210981	0.00109637	0.00241755	9.43217e-05	4.0569e-05	0.00165041	0.00108865	0.00180337	0.00271296	0.00328713	0.00171811	0.00581545	0.000863147	0.000658417	0.00232969	0.0150116	0.00550034	0.0028514	0.00124651	0.000626864	0.00317483	0.00465644	0.00231851	0.00141816	0.00444256	0.00231684	0.00539342	0.00363725	0.00652354	0.00995174	0.00667497	0.0256628	0.00617679	0.00269507	0.00335347	0.00116729	0.00238067	0.000191371	0.00453758	0.0214481	0.00105332	0.000911655	0.00134435	0.00497786	0.0197788	0.00457364	0.00419325	0.0186421	0.000598676	0.00393493	0.0124559	0.00746373	0.00757583	0.0057592	0.0058625	0.0340546	0.00133847	0.0122928	0.00853265	0.000351418	0.00179882	0.00190955	0.000943816	0.00715477	0.00184817	0.00285284	0.013016	0.00263137	0.0101308	0.0102042	0.0146797	0.00107326	0.383514	1.73978	0.2321802	1.76782	0.0671182	0.267822	0.662978	1.50835	3.73382	14.8991	1.953226	7.613998	0.2645255	0.0611149	0.0109834	0.0225933	0.00269766	0.00522267	0.000177292	0.00821884	0.0152838	0.00847703	0.00458565	2.20813e-05	0.0132981	0.00124666	0.000454118	0.00235983	0.00520357	0.000203019	8.73211e-05	0.00355236	0.00234321	0.00388159	0.0058394	0.00707525	0.00369808	0.0125172	0.00185785	0.00141718	0.00501446	0.0323112	0.011839	0.00613739	0.002683	0.00134927	0.00683355	0.0100226	0.00499038	0.00305246	0.0095622	0.00498679	0.0116088	0.00782887	0.0140413	0.0214202	0.0143673	0.0552369	0.013295	0.00580089	0.00721805	0.00251249	0.00512418	0.00041191	0.00976673	0.0461652	0.00226718	0.00196226	0.00289359	0.0107144	0.0425721	0.00984435	0.00902559	0.0401254	0.0012886	0.00846959	0.0268102	0.016065	0.0163063	0.0123962	0.0126185	0.0732994	0.00288094	0.0264591	0.0183658	0.000756396	0.00387179	0.00411013	0.00203148	0.0154	0.00397802	0.00614049	0.0280158	0.00566378	0.0218057	0.0219637	0.0315967	0.00231011	0.88391	0.11609	0.4645954
252	-907.1877	-1047.307	140.1196	0.0267532	0.00297878	0.0112601	0.00121591	0.000963585	0.00055925	0.00370447	0.0067524	0.00664742	0.0160699	0.000129164	0.00470767	0.000575661	0.00310552	0.000329155	0.00084161	0.000385475	0.000464569	0.00160115	0.000492384	0.00106706	0.00578905	0.00195216	0.00268155	0.00240782	0.00100428	0.000139527	0.0032621	0.023588	0.00165816	0.00226985	0.000260242	0.000372885	0.00316677	0.00389502	0.00246	0.00119012	0.00484392	0.0076747	0.00184583	0.00182918	0.00671922	0.0017466	0.00283668	0.0186238	0.00599244	0.00206125	0.00193395	0.000469042	0.008956	0.000527769	0.00234934	0.0266736	0.000223379	0.00105147	0.00130006	0.00226505	0.00637545	0.0104322	0.00379498	0.0130256	0.00449491	0.00381749	0.00339422	0.00431923	0.00298453	0.0110526	0.00207842	0.0114002	0.000683609	0.0127057	0.00542454	0.000238322	0.00413239	0.00414594	0.00428513	0.00701663	0.00195957	0.00519682	0.00964336	0.00179082	0.0106944	0.00806531	0.00286994	0.00379831	0.403865	1.71536	0.2300889	1.769911	0.0930341	0.314054	0.696746	1.43524	3.18417	10.7487	1.717136	7.692292	0.2825279	0.0658224	0.00732885	0.0277038	0.00299158	0.00237076	0.00137595	0.00911429	0.0166133	0.016355	0.0395376	0.000317788	0.0115825	0.00141633	0.00764067	0.000809837	0.00207066	0.000948405	0.001143	0.0039394	0.00121144	0.00262534	0.0142431	0.00480299	0.00659756	0.00592409	0.00247088	0.000343286	0.00802592	0.0580347	0.00407965	0.00558462	0.000640287	0.000917427	0.00779136	0.00958311	0.00605246	0.00292811	0.0119178	0.0188825	0.00454139	0.00450042	0.0165316	0.00429726	0.00697924	0.0458211	0.0147435	0.00507139	0.0047582	0.00115401	0.0220349	0.0012985	0.00578021	0.0656264	0.000549592	0.00258698	0.00319862	0.00557283	0.0156858	0.0256669	0.00933699	0.0320475	0.0110591	0.00939236	0.00835099	0.0106268	0.00734298	0.0271934	0.00511364	0.0280485	0.00168192	0.0312606	0.0133463	0.000586355	0.0101671	0.0102005	0.0105429	0.0172634	0.00482123	0.012786	0.0237261	0.00440604	0.0263121	0.0198435	0.00706106	0.00934519	0.884956	0.115044	0.4064459
288	-910.1205	-1050.162	140.0412	0.0389947	0.0139243	0.00841313	0.00643085	0.00406767	0.00046833	0.00892027	0.0134125	0.0150635	0.0082026	0.00408937	0.00350688	0.00417787	0.00270923	0.00511912	0.00217177	5.89669e-05	0.00252951	0.00683776	0.000925598	0.0041	0.00293827	0.0063572	0.00434239	0.000703418	0.00131507	0.00545423	0.00725149	0.0249175	0.00366178	0.00448372	0.00260932	0.00393915	0.00980099	0.00541996	0.00562218	0.0022894	0.0136373	0.00511326	0.0112761	0.0085729	0.0155457	0.00433724	0.00126401	0.0015673	0.0200541	0.00549888	0.0166765	0.00458063	0.00273605	0.00281661	0.0183209	0.00230944	0.00696847	0.0143154	0.0046977	0.0261583	0.00592745	0.0219936	0.00120046	0.00574583	0.025611	0.00557032	0.00445232	0.00980485	0.00628449	0.0308819	0.0102633	0.0133366	0.0295237	0.00318285	0.0106657	0.0468016	0.00459055	0.00435028	0.0124549	0.00641899	0.00020728	0.0168621	0.00152454	0.000212282	0.0112214	0.00487795	0.0721464	0.00520809	0.268583	1.8777	0.1752563	1.824744	0.121428	0.357618	0.725563	1.37824	2.79628	8.23536	1.524545	10.41186	0.1716462	0.0485614	0.0173404	0.0104772	0.00800855	0.0050656	0.000583227	0.0111087	0.016703	0.0187591	0.010215	0.00509263	0.00436724	0.00520284	0.00337389	0.00637501	0.00270458	7.34335e-05	0.00315008	0.00851529	0.00115268	0.00510587	0.00365913	0.00791684	0.00540772	0.00087599	0.0016377	0.00679234	0.00903052	0.0310306	0.00456014	0.00558373	0.00324947	0.00490555	0.0122055	0.00674965	0.00700149	0.00285107	0.016983	0.00636772	0.0140425	0.0106761	0.0193596	0.00540131	0.00157411	0.00195182	0.0249741	0.00684794	0.0207678	0.00570442	0.0034073	0.00350762	0.0228156	0.00287602	0.00867808	0.0178275	0.00585021	0.0325758	0.00738165	0.0273894	0.00149498	0.00715548	0.0318942	0.00693691	0.00554462	0.0122103	0.00782629	0.0384583	0.0127812	0.0166085	0.0367668	0.00396371	0.0132824	0.0582835	0.00571677	0.00541755	0.0155106	0.00799378	0.000258133	0.0209989	0.00189856	0.000264361	0.0139744	0.00607467	0.0898464	0.00648581	0.912372	0.0876281	0.8029976
324	-908.9455	-1047.91	138.9646	0.0295478	0.00506876	0.00614722	0.00109094	0.00174017	0.000862474	0.00319716	0.00561426	0.00872662	0.00202447	0.00256322	0.000854822	0.000893875	0.0016369	0.000567693	0.000748224	0.000855485	0.00043737	0.000452819	0.000156163	0.000797773	0.00109309	0.00516292	0.00160348	0.00207017	0.00013516	0.000598259	0.00407029	0.013015	0.00440717	0.00788711	0.000339154	0.00113899	0.00160514	0.00413836	0.00123405	0.00213036	0.00731538	0.0040992	0.00102368	0.00245331	0.00643146	0.000576588	0.000874987	0.0118508	0.00937682	0.00430779	9.34395e-05	0.000290448	0.000752031	0.00415354	0.0025489	0.0165936	0.000416601	0.00150523	0.000242292	0.00255415	0.0166946	0.00311174	0.00796049	0.0112741	0.00296266	0.0033562	0.00821797	0.00210351	0.00217815	0.000497685	0.00508104	0.0123832	0.000979238	0.0150371	0.00344965	0.00340328	0.00279083	0.00223793	0.00276161	0.00709685	0.00194835	0.00485972	0.0103326	0.00202704	0.00775628	0.0103546	0.00819468	0.00195597	0.149492	2.02061	0.1077606	1.892239	0.0519219	0.236305	0.637581	1.56843	4.23182	19.2597	2.138848	17.55966	0.08878038	0.0813808	0.0139604	0.0169307	0.00300468	0.00479279	0.00237544	0.00880566	0.0154629	0.024035	0.00557582	0.00705965	0.00235436	0.00246192	0.00450837	0.00156355	0.00206077	0.00235619	0.00120461	0.00124716	0.000430107	0.00219723	0.0030106	0.0142198	0.00441632	0.00570169	0.00037226	0.00164773	0.0112104	0.035846	0.0121383	0.0217228	0.000934101	0.00313703	0.00442089	0.0113979	0.00339885	0.00586746	0.0201481	0.0112901	0.00281943	0.00675693	0.0177136	0.00158804	0.0024099	0.0326397	0.0258257	0.0118646	0.000257352	0.000799954	0.00207125	0.0114397	0.0070202	0.0457024	0.00114741	0.00414572	0.000667324	0.00703467	0.0459803	0.00857038	0.0219249	0.0310513	0.0081598	0.0092437	0.022634	0.00579352	0.0059991	0.00137073	0.0139943	0.034106	0.00269703	0.0414154	0.00950106	0.00937336	0.00768654	0.00616372	0.00760605	0.0195462	0.00536616	0.0133847	0.0284581	0.0055829	0.0213624	0.0285189	0.0225699	0.00538715	0.94612	0.0538803	0.3630804
